dataset,train_fraction,train_cutoff_insert_id,train_rows,test_rows,classifier,auc_on_future,f1_on_future,skip_rate,dist_speedup,recall_at_10,vanilla_recall,recall_drop,build_time_sec,classifier_overhead_sec,distance_computations,skipped_computations
sift10k,0.1,999,450084,18443301,tree,0.7663634328,0.7149657244088423,0.4712056651975503,2.1168042158630582,0.8740000000000001,0.9430000000000001,0.06899999999999995,89.29299187660217,64.66935396,14175413,12631631
sift10k,0.2,1999,1537594,17355791,tree,0.7770940471999999,0.7283384131024551,0.4298853608172742,1.9217355105669094,0.8920000000000001,0.9430000000000001,0.050999999999999934,94.49623584747314,67.040540806,15614310,11773708
sift10k,0.3,2999,3017914,15875471,tree,0.7559649016000001,0.7232540494177415,0.42747313743496185,1.896937079865175,0.8920000000000001,0.9430000000000001,0.050999999999999934,99.76923298835754,70.354209021,15818434,11810722
sift10k,0.5,4999,6747565,12145820,tree,0.7574672256,0.7256466935524695,0.3800987407186564,1.7180391345407433,0.916,0.9430000000000001,0.027000000000000024,101.95240783691406,70.600956482,17465594,10709206
sift10k,0.7,6999,11213345,7680040,tree,0.7514457776,0.7243588642492743,0.3450526818111964,1.610439609508872,0.9230000000000003,0.9430000000000001,0.019999999999999796,105.72529101371765,72.142980624,18632536,9816372
