source_dataset,target_dataset,target_dim,target_n,target_distribution,auc_on_target_trace,skip_rate,dist_speedup,recall_at_10,vanilla_recall,recall_drop,build_time_sec
sift10k,sift10k,128,10000,real,0.7514457776,0.3450526818111964,1.610439609508872,0.9230000000000003,0.9430000000000001,0.019999999999999796,99.90657806396484
sift10k,uniform_128,128,5000,uniform,0.7269053616,0.39663336444025665,1.7307523917317236,0.9640000000000001,0.995,0.030999999999999917,44.91214370727539
sift10k,gaussian_128,128,5000,gaussian,0.7779443535999999,0.24354182751671796,1.3600257647549803,0.9540000000000001,0.972,0.017999999999999905,45.88448619842529
sift10k,clustered_128,128,5000,clustered,0.64484,0.0,1.0276356580333659,0.409,0.786,0.37700000000000006,16.222424745559692
sift10k,uniform_32,32,5000,uniform,0.8611997184,0.3865716326440075,1.6354013864074508,0.9969999999999999,1.0,0.0030000000000001137,44.181854248046875
sift10k,uniform_256,256,5000,uniform,0.693087568,0.38622085629232056,1.7170817665069855,0.9139999999999999,0.9730000000000001,0.05900000000000016,47.13113594055176
sift10k,high_dim_512,512,5000,high,0.7349281368,0.2236401142034335,1.3447855175567978,0.934,0.9570000000000001,0.02300000000000002,45.12636709213257
