dataset,method,dist_speedup,recall
sift10k,Vanilla-HNSW,15.003287,0.9660000000000002
sift10k,Python-Vanilla,1.0,0.9430000000000001
sift10k,Random-Skip,1.2106119977237413,0.9380000000000002
sift10k,Dist-Threshold,1.1776129873244,0.9470000000000002
sift10k,LearnToSkip-logistic,1.5122123451033775,0.9280000000000002
sift10k,LearnToSkip-tree,1.610439609508872,0.9230000000000003
sift10k,LearnToSkip-xgboost,1.5542232564865799,0.9310000000000003
