dataset,method,M,ef_construction,ef_search,K,recall,build_time_sec,dist_computations,skipped_computations,classifier_overhead_sec,dist_speedup
sift10k,Dist-Threshold,16,200,400,10,0.98,81.47237920761108,25480845,4601883,0.0,1.1776129873244
sift10k,Dist-Threshold,16,200,400,100,0.9365999999999999,81.47237920761108,25480845,4601883,0.0,1.1776129873244
sift10k,LearnToSkip-logistic,16,200,10,1,0.56,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,10,10,0.46,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,50,1,0.84,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,50,10,0.7560000000000001,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,100,1,0.92,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,100,10,0.862,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,100,100,0.7505999999999999,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,200,1,0.97,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,200,10,0.9280000000000002,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,200,100,0.8447000000000001,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,400,1,1.0,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,400,10,0.9560000000000001,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-logistic,16,200,400,100,0.9118999999999999,110.71392893791199,19842831,9003731,76.329687943,1.5122123451033775
sift10k,LearnToSkip-tree,16,200,10,1,0.51,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,10,10,0.44400000000000006,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,50,1,0.8,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,50,10,0.752,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,100,1,0.92,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,100,10,0.8580000000000001,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,100,100,0.7427999999999999,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,200,1,0.97,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,200,10,0.9230000000000003,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,200,100,0.8375000000000001,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,400,1,1.0,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,400,10,0.955,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-tree,16,200,400,100,0.9035000000000001,102.82843232154846,18632536,9816372,69.894976565,1.610439609508872
sift10k,LearnToSkip-xgboost,16,200,10,1,0.57,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,10,10,0.44799999999999995,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,50,1,0.84,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,50,10,0.7660000000000001,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,100,1,0.92,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,100,10,0.8620000000000002,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,100,100,0.7524000000000001,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,200,1,0.97,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,200,10,0.9310000000000003,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,200,100,0.8484999999999999,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,400,1,1.0,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,400,10,0.9580000000000001,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
sift10k,LearnToSkip-xgboost,16,200,400,100,0.9106999999999998,311.3780610561371,19306476,9360146,275.993879652,1.5542232564865799
