dataset,feature_set,n_features,classifier_f1,dist_speedup,recall_at_10,build_time_sec,classifier_overhead_sec,skipped_computations,distance_computations
sift10k,full,7,0.7276523886477947,1.5542232564865799,0.9310000000000004,321.3269610404968,283.470571826,9360146,19306476
sift10k,no_approx_dist,6,0.7156151561515616,1.530656359784592,0.9220000000000002,291.6423580646515,253.52045656,8802158,19603730
sift10k,no_graph_features,4,0.7270174670896693,1.5298548995615378,0.9320000000000002,318.9064722061157,280.466007213,9083155,19614000
sift10k,no_queue_features,5,0.6606659232117253,1.1445463520199601,0.946,337.964870929718,287.164869766,3796629,26217002
sift10k,minimal,2,0.7262793988571838,1.5454744823897772,0.9260000000000004,319.1612238883972,280.792787098,9322134,19415768
