threshold,skip_rate,dist_speedup,recall_at_10,build_time_sec,classifier_overhead_sec,skipped_computations,distance_computations
0.5,0.4218846020686372,1.871875954252641,0.9000000000000002,312.1523380279541,280.303886685,11698185,16030215
0.6,0.381836126224033,1.7244120841930997,0.9100000000000004,316.6364071369171,282.258392037,10748522,17401046
0.7,0.326517229689637,1.5542232564865799,0.9310000000000004,322.62614822387695,284.635511686,9360146,19306476
0.8,0.2384457471136094,1.3455134513571396,0.9390000000000002,323.04038310050964,279.52733565,6982599,22301207
0.9,0.0937614916377516,1.1079192632296917,0.94,337.31843423843384,285.795939713,2802143,27083719
0.95,0.0168841715713806,1.0168252109001061,0.943,321.9157998561859,269.856135918,506810,29510061
0.99,0.0,0.9993233398914546,0.943,322.90475487709045,270.128306889,0,30026892
