dataset,classifier,precision,recall,f1,auc,train_time_sec,model_size_bytes,inference_time_ns
sift10k,logistic,0.6573451327433628,0.81708,0.7285599643334819,0.7788742,0.03131389617919922,730,34.2208
sift10k,svm,0.6766634456101601,0.78428,0.726508077664147,0.7795943328000001,0.10916590690612793,1958,268.175
sift10k,tree,0.6347653310052082,0.8434,0.7243588642492743,0.7514457776,0.8924560546875,2378,42.0291
sift10k,xgboost,0.6662787217770093,0.80148,0.7276523886477947,0.7809402376,0.05485415458679199,38840,278.6917
